schema_version	status	latest	organism	assembly	upstream	downstream	jaspar_release	tax_group	background_version	artifact	artifact_sha256	motif_count	promoter_count	annotation_hash	promoter_hash	motif_hash	annotation_snapshot	annotation_source	annotation_retrieved_at	scoring_spec	pscanr_version	pscanr_commit	bioc_version	generated_at
1	validated	TRUE	dm	dm6	200	50	2020	insects	1	BG_files/J2020_dm6_200u_50d_UCSC.psbg1.txt	6711835f3898f6c3c8f14c48aaf59d9ee62f0ab1d19fbb3eac738aa4cfeb9e7b	143	22400					ncbiRefSeqCurated		pscan-best-hit-v1				
1	validated	TRUE	dm	dm6	450	50	2020	insects	1	BG_files/J2020_dm6_450u_50d_UCSC.psbg1.txt	ab553d4bbc417caadbf86a6ee7f1bd646b5c63cb7a8698217f5f71f8d0285019	143	22454					ncbiRefSeqCurated		pscan-best-hit-v1				
1	validated	TRUE	dm	dm6	500	0	2020	insects	1	BG_files/J2020_dm6_500u_0d_UCSC.psbg1.txt	c13d6faf98749f9100910cd286d87f338f4b422c194f933d705dca9c23e07f48	143	22460					ncbiRefSeqCurated		pscan-best-hit-v1				
1	validated	TRUE	dm	dm6	950	50	2020	insects	1	BG_files/J2020_dm6_950u_50d_UCSC.psbg1.txt	c80252ed98ba7686cc6664724eb879ae96678e0861ad6391c012527d85a36fa4	143	22511					ncbiRefSeqCurated		pscan-best-hit-v1				
1	validated	TRUE	dm	dm6	1000	0	2020	insects	1	BG_files/J2020_dm6_1000u_0d_UCSC.psbg1.txt	0de75697e4f7a766fc978763ad40afbe753973db906a25f0a8458dbdebdd091c	143	22513					ncbiRefSeqCurated		pscan-best-hit-v1				
1	validated	TRUE	hs	hg38	200	50	2020	vertebrates	1	BG_files/J2020_hg38_200u_50d_UCSC.psbg1.txt	f40f20b1272d3548c0065072369ed2cd25f2adcf7025a5c580a381f8f2aca034	746	39438					ncbiRefSeqCurated		pscan-best-hit-v1				
1	validated	TRUE	hs	hg38	450	50	2020	vertebrates	1	BG_files/J2020_hg38_450u_50d_UCSC.psbg1.txt	34ebf503309a2d5503acefe5bafb0690f830eb4997ea4383e1ad086c226c8d9f	746	39518					ncbiRefSeqCurated		pscan-best-hit-v1				
1	validated	TRUE	hs	hg38	500	0	2020	vertebrates	1	BG_files/J2020_hg38_500u_0d_UCSC.psbg1.txt	1a8fcd5b6bc948a615b78c8f9609a4f743f21f5c11417b6654ca1acc0d639bc2	746	39524					ncbiRefSeqCurated		pscan-best-hit-v1				
1	validated	TRUE	hs	hg38	950	50	2020	vertebrates	1	BG_files/J2020_hg38_950u_50d_UCSC.psbg1.txt	9f70c209f0216817ef4673db2fedab7c7ac1da0b58a466df5294f2d4da1f438c	746	39583					ncbiRefSeqCurated		pscan-best-hit-v1				
1	validated	TRUE	hs	hg38	1000	0	2020	vertebrates	1	BG_files/J2020_hg38_1000u_0d_UCSC.psbg1.txt	c9dd3726434077868a8f1d06d4a5e01a16c6c350d9c80311a716482215c565f0	746	39581					ncbiRefSeqCurated		pscan-best-hit-v1				
1	validated	TRUE	hs	hs1	200	50	2020	vertebrates	1	BG_files/J2020_hs1_200u_50d_UCSC.psbg1.txt	6ede502af6bdb04dc08907d383573a300d8489f69b7012acdebc5da788299b37	746	39405					raw_data/GCF_009914755.1_T2T-CHM13v2.0_genomic.gff.gz		pscan-best-hit-v1				
1	validated	TRUE	hs	hs1	450	50	2020	vertebrates	1	BG_files/J2020_hs1_450u_50d_UCSC.psbg1.txt	8cac798dcb24518bb04653a589b90d2451afdb624c4c5a7512ff2a14d8c90401	746	39500					raw_data/GCF_009914755.1_T2T-CHM13v2.0_genomic.gff.gz		pscan-best-hit-v1				
1	validated	TRUE	hs	hs1	500	0	2020	vertebrates	1	BG_files/J2020_hs1_500u_0d_UCSC.psbg1.txt	ab1caca35d583c2c4e38168d06f73e8b6a2e6f7340bab14940561be15f578b04	746	39503					raw_data/GCF_009914755.1_T2T-CHM13v2.0_genomic.gff.gz		pscan-best-hit-v1				
1	validated	TRUE	hs	hs1	950	50	2020	vertebrates	1	BG_files/J2020_hs1_950u_50d_UCSC.psbg1.txt	059189e1bebd8d757bca908cb78309751a9cece3de385851dc9d44f0f6410c0d	746	39591					raw_data/GCF_009914755.1_T2T-CHM13v2.0_genomic.gff.gz		pscan-best-hit-v1				
1	validated	TRUE	hs	hs1	1000	0	2020	vertebrates	1	BG_files/J2020_hs1_1000u_0d_UCSC.psbg1.txt	29c37f8ef75baa2f747bd8b08de64b0e8f66e4e476c8773e013cc5e3fe7c65f0	746	39591					raw_data/GCF_009914755.1_T2T-CHM13v2.0_genomic.gff.gz		pscan-best-hit-v1				
