key	organism	assembly	upstream	downstream	jaspar_release	reference_artifact	reference_sha256	candidate_artifact	candidate_sha256	reference_size	candidate_size	reference_motifs	candidate_motifs	shared_motifs	added_motifs	removed_motifs	mean_correlation	sd_correlation	mean_absolute_delta	mean_maximum_delta	sd_absolute_delta	sd_maximum_delta	normalized_mean_shift_p95	normalized_mean_shift_maximum	sd_ratio_p01	sd_ratio_median	sd_ratio_p99	sd_ratio_minimum	sd_ratio_maximum	zero_variance_sentinels	promoter_count_delta	promoter_count_relative_delta
dm:dm6:200:50:2020	dm	dm6	200	50	2020	BG_files/J2020_dm6_200u_50d_UCSC.psbg1.txt	6711835f3898f6c3c8f14c48aaf59d9ee62f0ab1d19fbb3eac738aa4cfeb9e7b	BG_files/J2020_dm6_200u_50d_UCSC.psbg2.txt	3e0dfa8b5b99931b02e498f35f42f6e608bb201aa26a452afa3180e8d6dc30c8	22400	22400	143	143	143	0	0	1	1	6.98741763750099e-18	9.99200722162641e-16	6.30808536718839e-18	1.11022302462516e-16	0	1.55325155182488e-14	1	1	1	0.999999999999999	1	0	0	0
dm:dm6:450:50:2020	dm	dm6	450	50	2020	BG_files/J2020_dm6_450u_50d_UCSC.psbg1.txt	ab553d4bbc417caadbf86a6ee7f1bd646b5c63cb7a8698217f5f71f8d0285019	BG_files/J2020_dm6_450u_50d_UCSC.psbg2.txt	4dba235d2795f45e1c713c12699754283ffd4bf0aee4d492fc4a4b6d00768135	22454	22454	143	143	143	0	0	1	1	1.3974835275002e-17	9.99200722162641e-16	6.98741763750099e-18	1.04083408558608e-16	0	1.78675782885917e-14	1	1	1	0.999999999999998	1	0	0	0
dm:dm6:500:0:2020	dm	dm6	500	0	2020	BG_files/J2020_dm6_500u_0d_UCSC.psbg1.txt	c13d6faf98749f9100910cd286d87f338f4b422c194f933d705dca9c23e07f48	BG_files/J2020_dm6_500u_0d_UCSC.psbg2.txt	35cdeb2d5558cdf6acbea36fc3e9246789158c2a4eed2a246a37514421e5d10c	22460	22460	143	143	143	0	0	1	1	6.98741763750099e-18	9.99200722162641e-16	4.85237335937568e-18	1.04083408558608e-16	0	2.08093767119716e-14	0.999999999999999	1	1	0.999999999999997	1	0	0	0
dm:dm6:950:50:2020	dm	dm6	950	50	2020	BG_files/J2020_dm6_950u_50d_UCSC.psbg1.txt	c80252ed98ba7686cc6664724eb879ae96678e0861ad6391c012527d85a36fa4	BG_files/J2020_dm6_950u_50d_UCSC.psbg2.txt	576ad09e9a371058eaec373b14b51468279f89606ee356eebbcd3d7426e9dddf	22511	22511	143	143	143	0	0	1	1	2.0962252912503e-17	9.99200722162641e-16	6.28382350039151e-18	1.04083408558608e-16	0	2.87769422828407e-14	0.999999999999997	1	1	0.999999999999996	1	0	0	0
dm:dm6:1000:0:2020	dm	dm6	1000	0	2020	BG_files/J2020_dm6_1000u_0d_UCSC.psbg1.txt	0de75697e4f7a766fc978763ad40afbe753973db906a25f0a8458dbdebdd091c	BG_files/J2020_dm6_1000u_0d_UCSC.psbg2.txt	01b58900d8fd2cb0df7b9de54dfb2b7dce96fd22c4670e60261bf9117e0963b9	22513	22513	143	143	143	0	0	1	1	6.98741763750099e-18	9.99200722162641e-16	5.62875309687579e-18	1.11022302462516e-16	0	1.69233089627255e-14	0.999999999999999	1	1	0.999999999999998	1	0	0	0
hs:hg38:200:50:2020	hs	hg38	200	50	2020	BG_files/J2020_hg38_200u_50d_UCSC.psbg1.txt	f40f20b1272d3548c0065072369ed2cd25f2adcf7025a5c580a381f8f2aca034	BG_files/J2020_hg38_200u_50d_UCSC.psbg2.txt	12eac3ce9c7b79dc8ab4face65e83dc93edfbc4850f74aae206b58c9e761aebf	39438	39719	746	746	746	0	0	0.999999749119481	0.999997371354376	3.45885667101972e-05	0.000131497083719068	2.67525137248881e-05	0.000144907381561005	0.00133666999085003	0.00180415626195156	0.998924301857194	1.00020492857751	1.00135342325839	0.998185509446836	1.00212843799179	0	281	0.0071251077640854
hs:hg38:450:50:2020	hs	hg38	450	50	2020	BG_files/J2020_hg38_450u_50d_UCSC.psbg1.txt	34ebf503309a2d5503acefe5bafb0690f830eb4997ea4383e1ad086c226c8d9f	BG_files/J2020_hg38_450u_50d_UCSC.psbg2.txt	b560c7f5be93950d62fe9d022078d8214bf1079a55a66da115a49cd1ab81c247	39518	39799	746	746	746	0	0	0.999999847583973	0.999997661235247	2.3129837470357e-05	9.65875041389896e-05	1.954591922032e-05	0.0001227055707331	0.0010866273346864	0.00151273010295458	0.999069348443947	1.00012793845196	1.00115565434838	0.998125811928348	1.00217630322162	0	281	0.00711068373905562
hs:hg38:500:0:2020	hs	hg38	500	0	2020	BG_files/J2020_hg38_500u_0d_UCSC.psbg1.txt	1a8fcd5b6bc948a615b78c8f9609a4f743f21f5c11417b6654ca1acc0d639bc2	BG_files/J2020_hg38_500u_0d_UCSC.psbg2.txt	3a5ef61ada495f70882de7c2e2edf52b9bc76329673b66827b73c7e99fc8bcd0	39524	39805	746	746	746	0	0	0.999999858769933	0.999997810229581	2.22967564098057e-05	9.39712875280829e-05	1.9245844978167e-05	0.000117806096967703	0.00101977441158874	0.00159700634850253	0.999014283439162	1.00012144753163	1.00103265700935	0.998716040885303	1.00210650018903	0	281	0.00710960429106366
hs:hg38:950:50:2020	hs	hg38	950	50	2020	BG_files/J2020_hg38_950u_50d_UCSC.psbg1.txt	9f70c209f0216817ef4673db2fedab7c7ac1da0b58a466df5294f2d4da1f438c	BG_files/J2020_hg38_950u_50d_UCSC.psbg2.txt	2dde1d4d3d7daa13cf04fc7e23b928ccd95fba04c7bb7cb47b0d4630a58efc94	39583	39864	746	746	746	0	0	0.999999882253929	0.999997365919777	2.11450779697686e-05	7.70773228510047e-05	1.60344226930346e-05	0.000100587739587099	0.00101697777688246	0.00153440561990149	0.99906788953991	0.999983703454013	1.00098846576822	0.998321559749515	1.00191249975884	0	281	0.00709900714953389
hs:hg38:1000:0:2020	hs	hg38	1000	0	2020	BG_files/J2020_hg38_1000u_0d_UCSC.psbg1.txt	c9dd3726434077868a8f1d06d4a5e01a16c6c350d9c80311a716482215c565f0	BG_files/J2020_hg38_1000u_0d_UCSC.psbg2.txt	978d4e2c40f7719206930bc5b4a6e8d927fce443adadb5514aea7be3acb63ffc	39581	39862	746	746	746	0	0	0.999999868201822	0.999997380394203	2.30979830884667e-05	8.5050395051911e-05	1.6075421271295e-05	8.57920930973019e-05	0.00104050288145139	0.00162294227566267	0.999052986640958	0.999949564456207	1.00094025830672	0.998812917191763	1.00164262057574	0	281	0.0070993658573558
hs:hs1:200:50:2020	hs	hs1	200	50	2020	BG_files/J2020_hs1_200u_50d_UCSC.psbg1.txt	6ede502af6bdb04dc08907d383573a300d8489f69b7012acdebc5da788299b37	BG_files/J2020_hs1_200u_50d_UCSC.psbg2.txt	3f824e7b59c57a09d6d8f4fe36da0b35b3a24887d49a4a8ea98c96649df7de3f	39405	39405	746	746	746	0	0	1	1	8.03646693428398e-18	9.99200722162641e-16	5.70179887814361e-18	1.11022302462516e-16	0	1.97311243223031e-14	0.999999999999998	1	1	0.999999999999998	1	0	0	0
hs:hs1:450:50:2020	hs	hs1	450	50	2020	BG_files/J2020_hs1_450u_50d_UCSC.psbg1.txt	8cac798dcb24518bb04653a589b90d2451afdb624c4c5a7512ff2a14d8c90401	BG_files/J2020_hs1_450u_50d_UCSC.psbg2.txt	040c9e4c88df806f6038f610d0cc198039eb140f2a520f58530becab61944d61	39500	39500	746	746	746	0	0	1	1	6.69705577856998e-18	9.99200722162641e-16	4.13915252981061e-18	1.11022302462516e-16	0	1.65276084495101e-14	0.999999999999998	1	1	0.999999999999998	1	0	0	0
hs:hs1:500:0:2020	hs	hs1	500	0	2020	BG_files/J2020_hs1_500u_0d_UCSC.psbg1.txt	ab1caca35d583c2c4e38168d06f73e8b6a2e6f7340bab14940561be15f578b04	BG_files/J2020_hs1_500u_0d_UCSC.psbg2.txt	e79db86e52af75afe6d24545b2bd248db3fdbc6d832766f820219bdccd609ce2	39503	39503	746	746	746	0	0	1	1	5.35764462285598e-18	9.99200722162641e-16	4.49260825145736e-18	1.04083408558608e-16	0	2.09167990178207e-14	0.999999999999998	1	1	0.999999999999998	1	0	0	0
hs:hs1:950:50:2020	hs	hs1	950	50	2020	BG_files/J2020_hs1_950u_50d_UCSC.psbg1.txt	059189e1bebd8d757bca908cb78309751a9cece3de385851dc9d44f0f6410c0d	BG_files/J2020_hs1_950u_50d_UCSC.psbg2.txt	dd42defb77fdb38f56c245f6f2f1a8d9d39ddfc7917d3828e4144e99bacd0641	39591	39591	746	746	746	0	0	1	1	5.35764462285598e-18	9.99200722162641e-16	4.4135457874048e-18	1.04083408558608e-16	0	2.62973854541393e-14	0.999999999999998	1	1	0.999999999999997	1	0	0	0
hs:hs1:1000:0:2020	hs	hs1	1000	0	2020	BG_files/J2020_hs1_1000u_0d_UCSC.psbg1.txt	29c37f8ef75baa2f747bd8b08de64b0e8f66e4e476c8773e013cc5e3fe7c65f0	BG_files/J2020_hs1_1000u_0d_UCSC.psbg2.txt	c8c5a02008122217dc806e93ca25ddd728b6707b894d026063438060bce0b832	39591	39591	746	746	746	0	0	1	1	1.2054700401426e-17	9.99200722162641e-16	3.35782935564411e-18	1.04083408558608e-16	0	2.37868862273754e-14	0.999999999999998	1	1	0.999999999999997	1	0	0	0
mm:mm10:200:50:2020	mm	mm10	200	50	2020	BG_files/J2020_mm10_200u_50d_UCSC.psbg1.txt	552e42290d62c1851958cd56c554b61e89ecb744ac166f3d517376af0cca7124	BG_files/J2020_mm10_200u_50d_UCSC.psbg2.txt	7e6daef78a489bc578c56916cf9b92f61de027d9e91d00e08b2191cbb62fb7e3	31383	31383	746	746	746	0	0	1	1	1.2054700401426e-17	9.99200722162641e-16	5.05999769936398e-18	1.11022302462516e-16	0	2.26380631967749e-14	0.999999999999998	1	1	0.999999999999997	1	0	0	0
mm:mm10:450:50:2020	mm	mm10	450	50	2020	BG_files/J2020_mm10_450u_50d_UCSC.psbg1.txt	2a6d08330f3bb7ed00770d0deaa3141d4075cf94ace3d50586e8862e05523318	BG_files/J2020_mm10_450u_50d_UCSC.psbg2.txt	16320f53a4c3b08ba07730b796a4c80005dbff472cfc2524d3f215e3a11e035b	31440	31440	746	746	746	0	0	1	1	8.03646693428398e-18	9.99200722162641e-16	4.58562291504861e-18	1.04083408558608e-16	0	2.17415341869501e-14	0.999999999999998	1	1	0.999999999999997	1	0	0	0
mm:mm10:500:0:2020	mm	mm10	500	0	2020	BG_files/J2020_mm10_500u_0d_UCSC.psbg1.txt	fc43504d6beb4940a9e10072bbdf8e209c9226c214b963503314148e89d677a7	BG_files/J2020_mm10_500u_0d_UCSC.psbg2.txt	5296ebac42e3dc097ec9d799b52bd72c815f27f71c4d02168dd153e9ad765f92	31443	31443	746	746	746	0	0	1	1	5.35764462285598e-18	9.99200722162641e-16	5.11580649751873e-18	1.11022302462516e-16	0	2.14845156037794e-14	0.999999999999998	1	1	0.999999999999998	1	0	0	0
